transaction_id,date,user_id,merchant_id,amount,transaction_type,device_type,lat,lon,fraud_label,card_type
txn_000000,2025-08-27 10:13:36.479673,user_987,merchant_130,1073.7228229750394,Online,Mobile,28.602712450513536,77.19866365569183,0,Credit
txn_000001,2025-04-14 10:13:36.479673,user_634,merchant_23,759.2462640412657,Online,Desktop,19.049160897339508,72.9366862190329,0,Credit
txn_000002,2025-03-23 10:13:36.479673,user_653,merchant_34,583.5857576197754,Transfer,Mobile,12.93440956832028,77.60537712249304,0,Debit
txn_000003,2025-05-26 10:13:36.479673,user_312,merchant_155,71.79992314536042,POS,Mobile,22.562167981255552,88.40759043926718,0,Debit
txn_000004,2025-05-18 10:13:36.479673,user_912,merchant_6,560.6062810970021,POS,Mobile,12.981381996169867,77.61307501169915,0,Credit
txn_000005,2025-05-13 10:13:36.479673,user_521,merchant_50,564.4820509816798,Transfer,Mobile,28.620378937752175,77.15039157042854,0,Credit
txn_000006,2025-04-21 10:13:36.479673,user_576,merchant_64,440.4079221031916,POS,Desktop,40.7375181219616,-74.00495979285827,0,Debit
txn_000007,2025-04-12 10:13:36.479673,user_212,merchant_106,689.8902951802426,POS,Mobile,40.67193036466721,-74.07054254456271,0,Debit
txn_000008,2025-09-06 10:13:36.479673,user_671,merchant_103,836.5717132946404,POS,Mobile,40.66913633931948,-73.96179554717247,0,Credit
txn_000009,2025-08-03 10:13:36.479673,user_688,merchant_95,254.47882084139485,POS,Mobile,40.79809369185375,-73.99408016690643,0,Debit
txn_000010,2025-04-08 10:13:36.479673,user_468,merchant_180,3247.461018622078,Online,Desktop,40.660163534457375,-73.979181026525,0,Debit
txn_000011,2025-08-15 10:13:36.479673,user_974,merchant_15,458.2123964670113,Online,Mobile,22.623869170839164,88.45606165482955,0,Credit
txn_000012,2025-07-03 10:13:36.479673,user_350,merchant_47,315.4312427876231,POS,Mobile,13.033205756278287,77.60121348707901,0,Credit
txn_000013,2025-03-25 10:13:36.479673,user_373,merchant_75,7.624039292041118,POS,Mobile,12.998753886147288,77.55386944878423,0,Prepaid
txn_000014,2025-03-24 10:13:36.479673,user_846,merchant_143,201.02217910311452,Transfer,Desktop,22.60984749944201,88.40669868543311,0,Credit
txn_000015,2025-04-09 10:13:36.479673,user_56,merchant_297,130.30365588876782,Transfer,Desktop,12.845137152395354,77.59713394297135,0,Debit
txn_000016,2025-05-11 10:13:36.479673,user_837,merchant_179,862.535152405446,ATM,Desktop,19.144504387742398,72.83643831800897,0,Debit
txn_000017,2025-05-15 10:13:36.479673,user_229,merchant_181,1010.8481018027835,ATM,Mobile,18.96372598957904,72.86861650675203,0,Credit
txn_000018,2025-07-24 10:13:36.479673,user_865,merchant_83,171.36996281162396,ATM,Desktop,28.663802053188228,77.22003056700186,0,Credit
txn_000019,2025-08-18 10:13:36.479673,user_466,merchant_257,663.8220539411334,Transfer,Mobile,19.071346889381616,72.8237178707374,0,Debit
txn_000020,2025-03-23 10:13:36.479673,user_340,merchant_124,762.0549273409252,Online,Desktop,22.51508779829691,88.36913857506468,0,Debit
txn_000021,2025-08-07 10:13:36.479673,user_574,merchant_259,52.31936400204086,POS,Mobile,40.707073521381176,-73.9573746354416,0,Credit
txn_000022,2025-05-06 10:13:36.479673,user_786,merchant_292,548.2936841536998,Online,Desktop,12.99203006087914,77.55284680535192,0,Debit
txn_000022,2025-08-30 10:13:36.479673,user_635,merchant_35,1260.0548496039578,POS,Mobile,40.72280664253365,-73.9954789010577,0,Debit
txn_000024,2025-09-12 10:13:36.479673,user_615,merchant_51,703.1440599072893,Transfer,Desktop,40.62679411220578,-74.02095651049703,0,Credit
txn_000025,2025-08-03 10:13:36.479673,user_485,merchant_297,426.40983760024085,Online,Desktop,12.973003218510517,77.58433156528734,0,Debit
txn_000026,2025-07-02 10:13:36.479673,user_734,merchant_8,331.9440424345373,Online,Mobile,28.625787022554693,77.20391752661666,0,Credit
txn_000027,2025-05-12 10:13:36.479673,user_673,merchant_271,106.73847541626844,POS,Tablet,12.987034326240435,77.59834351079253,0,Credit
txn_000028,2025-07-09 10:13:36.479673,user_373,merchant_112,641.1420968350196,Online,Mobile,12.968838604198503,77.59797717865183,0,Debit
txn_000028,2025-08-14 10:13:36.479673,user_734,merchant_99,1084.3450361762946,POS,Tablet,19.051923202255402,72.84921564208109,0,Credit
txn_000030,2025-05-27 10:13:36.479673,user_464,merchant_145,255.9368736806238,POS,Desktop,28.6149199864886,77.09954869078453,0,Credit
txn_000031,2025-03-18 10:13:36.479673,user_117,merchant_88,80.67540385511836,POS,Tablet,12.951458059531264,77.5546913922153,0,Debit
txn_000032,2025-04-26 10:13:36.479673,user_100,merchant_276,300.7327455940327,POS,Mobile,12.92851424584259,77.57423875344342,0,Debit
txn_000033,2025-09-11 10:13:36.479673,user_778,merchant_3,764.4799237934626,Online,Mobile,22.502983339706642,88.34447749967704,0,Debit
txn_000034,2025-07-03 10:13:36.479673,user_675,merchant_51,371.44999855337437,Online,Desktop,22.58156630471716,88.4125210198546,0,Debit
txn_000035,2025-06-12 10:13:36.479673,user_228,merchant_110,253.85957212607354,Transfer,Tablet,19.179958656383125,72.77857247133653,0,Prepaid
